,Class,Crossed_Section,Movement,Appearance
8344,person,,,2022-09-20 08:15:00
8345,bicycle,"['Nord', 'Sued']",,2022-09-20 08:15:01
8346,person,['Nord'],,2022-09-20 08:15:01
8347,bicycle,,,2022-09-20 08:15:01
8348,unclear,,,2022-09-20 08:15:01
8352,unclear,,,2022-09-20 08:15:02
8358,person,['Sued'],,2022-09-20 08:15:06
8359,car,,,2022-09-20 08:15:07
8360,bicycle,,,2022-09-20 08:15:08
8361,unclear,,,2022-09-20 08:15:10
8362,person,,,2022-09-20 08:15:10
8363,person,,,2022-09-20 08:15:12
8364,car,,,2022-09-20 08:15:12
8365,bicycle,['Nord'],,2022-09-20 08:15:13
8366,person,"['Nord', 'Sued']",,2022-09-20 08:15:14
8367,bicycle,,,2022-09-20 08:15:15
8369,person,,,2022-09-20 08:15:16
8370,car,,,2022-09-20 08:15:17
8371,person,,,2022-09-20 08:15:17
8374,person,,,2022-09-20 08:15:18
8375,person,,,2022-09-20 08:15:18
8377,person,,,2022-09-20 08:15:18
8378,person,,,2022-09-20 08:15:19
8379,bicycle,,,2022-09-20 08:15:19
8381,bicycle,,,2022-09-20 08:15:20
8382,bicycle,['Nord'],,2022-09-20 08:15:20
8383,bicycle,,,2022-09-20 08:15:20
8384,person,,,2022-09-20 08:15:20
8388,unclear,,,2022-09-20 08:15:21
8389,person,,,2022-09-20 08:15:21
8392,person,,,2022-09-20 08:15:22
8393,person,,,2022-09-20 08:15:22
8394,person,,,2022-09-20 08:15:22
8397,person,,,2022-09-20 08:15:22
8398,person,,,2022-09-20 08:15:22
8399,car,,,2022-09-20 08:15:23
8400,person,,,2022-09-20 08:15:23
8401,unclear,['Nord'],,2022-09-20 08:15:23
8405,unclear,,,2022-09-20 08:15:24
8406,unclear,,,2022-09-20 08:15:24
8407,unclear,,,2022-09-20 08:15:25
8412,unclear,,,2022-09-20 08:15:26
8414,unclear,,,2022-09-20 08:15:27
8415,unclear,,,2022-09-20 08:15:27
8417,unclear,,,2022-09-20 08:15:27
8418,unclear,,,2022-09-20 08:15:28
8419,unclear,,,2022-09-20 08:15:28
8422,bicycle,,,2022-09-20 08:15:34
8423,bicycle,['Sued'],,2022-09-20 08:15:35
8424,unclear,,,2022-09-20 08:15:35
8425,car,,,2022-09-20 08:15:37
8426,bicycle,,,2022-09-20 08:15:38
8428,person,,,2022-09-20 08:15:42
8429,unclear,,,2022-09-20 08:15:43
8430,person,,,2022-09-20 08:15:44
8431,unclear,,,2022-09-20 08:15:45
8434,unclear,,,2022-09-20 08:15:47
8436,unclear,,,2022-09-20 08:15:49
8437,person,,,2022-09-20 08:15:51
8438,unclear,,,2022-09-20 08:15:52
8439,car,,,2022-09-20 08:15:52
8440,bicycle,"['Nord', 'Sued']",,2022-09-20 08:15:53
8441,person,['Nord'],,2022-09-20 08:15:53
8446,unclear,,,2022-09-20 08:15:54
8448,unclear,,,2022-09-20 08:15:54
8450,unclear,,,2022-09-20 08:15:54
8451,bicycle,"['Nord', 'Sued']",,2022-09-20 08:15:54
8454,person,"['Nord', 'Sued']",,2022-09-20 08:15:54
8455,person,,,2022-09-20 08:15:55
8457,bicycle,['Sued'],,2022-09-20 08:15:57
8458,person,['Nord'],,2022-09-20 08:15:57
8459,bicycle,,,2022-09-20 08:15:57
8463,person,,,2022-09-20 08:15:58
8464,bicycle,,,2022-09-20 08:15:59
8465,person,,,2022-09-20 08:15:59
8466,person,,,2022-09-20 08:16:00
8467,bicycle,,,2022-09-20 08:16:00
8469,bicycle,,,2022-09-20 08:16:01
8470,person,,,2022-09-20 08:16:01
8471,car,,,2022-09-20 08:16:09
8472,unclear,,,2022-09-20 08:16:12
8473,car,,,2022-09-20 08:16:18
8474,person,"['Nord', 'Sued']",,2022-09-20 08:16:25
8475,person,['Nord'],,2022-09-20 08:16:25
8476,bicycle,,,2022-09-20 08:16:30
8478,bicycle,"['Nord', 'Sued']",,2022-09-20 08:16:31
8479,truck,,,2022-09-20 08:16:31
8480,person,,,2022-09-20 08:16:31
8481,truck,,,2022-09-20 08:16:32
8483,unclear,,,2022-09-20 08:16:32
8484,car,,,2022-09-20 08:16:32
8487,car,,,2022-09-20 08:16:32
8489,bicycle,,,2022-09-20 08:16:32
8492,person,['Nord'],,2022-09-20 08:16:33
8493,bus,,,2022-09-20 08:16:33
8495,bicycle,['Sued'],,2022-09-20 08:16:34
8496,person,['Sued'],,2022-09-20 08:16:34
8497,bus,,,2022-09-20 08:16:34
8498,person,,,2022-09-20 08:16:34
8499,bicycle,,,2022-09-20 08:16:35
8500,bicycle,['Nord'],,2022-09-20 08:16:35
8501,bus,,,2022-09-20 08:16:35
8502,bicycle,['Nord'],,2022-09-20 08:16:35
8503,person,"['Nord', 'Sued']",,2022-09-20 08:16:35
8505,person,,,2022-09-20 08:16:35
8506,bicycle,,,2022-09-20 08:16:35
8509,bicycle,,,2022-09-20 08:16:36
8510,person,,,2022-09-20 08:16:36
8512,person,,,2022-09-20 08:16:36
8513,unclear,,,2022-09-20 08:16:36
8515,bicycle,,,2022-09-20 08:16:36
8519,unclear,,,2022-09-20 08:16:37
8520,person,['Nord'],,2022-09-20 08:16:37
8521,car,,,2022-09-20 08:16:37
8523,bicycle,,,2022-09-20 08:16:37
8524,person,['Sued'],,2022-09-20 08:16:38
8525,bicycle,,,2022-09-20 08:16:38
8527,person,,,2022-09-20 08:16:39
8529,bicycle,,,2022-09-20 08:16:39
8532,person,,,2022-09-20 08:16:40
8533,person,"['Nord', 'Sued']",,2022-09-20 08:16:40
8534,person,,,2022-09-20 08:16:40
8535,person,,,2022-09-20 08:16:40
8536,bicycle,['Nord'],,2022-09-20 08:16:40
8537,bicycle,,,2022-09-20 08:16:41
8540,unclear,['Nord'],,2022-09-20 08:16:42
8541,person,,,2022-09-20 08:16:42
8543,bus,,,2022-09-20 08:16:42
8544,person,,,2022-09-20 08:16:43
8545,person,,,2022-09-20 08:16:43
8546,bicycle,,,2022-09-20 08:16:44
8547,person,,,2022-09-20 08:16:45
8548,car,,,2022-09-20 08:16:48
8549,person,,,2022-09-20 08:16:49
8551,person,,,2022-09-20 08:16:52
8552,car,,,2022-09-20 08:16:53
8553,person,,,2022-09-20 08:16:55
8554,person,"['Nord', 'Sued']",,2022-09-20 08:16:56
8555,person,,,2022-09-20 08:16:57
8556,unclear,,,2022-09-20 08:16:57
8557,bicycle,,,2022-09-20 08:16:57
8558,person,,,2022-09-20 08:16:57
8560,person,,,2022-09-20 08:16:58
8563,unclear,,,2022-09-20 08:17:00
8564,unclear,,,2022-09-20 08:17:00
8565,person,,,2022-09-20 08:17:00
8566,unclear,,,2022-09-20 08:17:01
8567,bicycle,,,2022-09-20 08:17:01
8568,car,"['Nord', 'Sued']",,2022-09-20 08:17:01
8569,bus,,,2022-09-20 08:17:01
8570,person,,,2022-09-20 08:17:01
8572,car,,,2022-09-20 08:17:02
8573,car,,,2022-09-20 08:17:03
8574,bicycle,,,2022-09-20 08:17:04
8575,bus,,,2022-09-20 08:17:05
8576,bicycle,,,2022-09-20 08:17:05
8577,person,,,2022-09-20 08:17:06
8580,person,,,2022-09-20 08:17:07
8581,car,,,2022-09-20 08:17:09
8582,car,,,2022-09-20 08:17:14
8584,unclear,,,2022-09-20 08:17:21
8585,person,,,2022-09-20 08:17:35
8586,car,,,2022-09-20 08:17:36
8587,unclear,,,2022-09-20 08:17:36
8588,person,,,2022-09-20 08:17:36
8589,unclear,,,2022-09-20 08:17:36
8590,bicycle,,,2022-09-20 08:17:36
8591,bicycle,,,2022-09-20 08:17:37
8592,bicycle,"['Nord', 'Sued']",,2022-09-20 08:17:37
8594,person,"['Nord', 'Sued']",,2022-09-20 08:17:40
8597,car,,,2022-09-20 08:17:43
8598,unclear,,,2022-09-20 08:17:44
8601,person,,,2022-09-20 08:17:45
8603,car,,,2022-09-20 08:17:49
8604,unclear,,,2022-09-20 08:17:50
8605,person,['Nord'],,2022-09-20 08:17:50
8606,car,,,2022-09-20 08:17:51
8607,unclear,,,2022-09-20 08:17:51
8608,car,,,2022-09-20 08:17:52
8610,bicycle,,,2022-09-20 08:17:52
8611,person,,,2022-09-20 08:17:53
8612,person,,,2022-09-20 08:17:53
8613,person,,,2022-09-20 08:17:53
8614,bicycle,,,2022-09-20 08:17:56
8615,bicycle,,,2022-09-20 08:17:57
8616,person,,,2022-09-20 08:17:57
8617,person,,,2022-09-20 08:17:58
8618,bicycle,,,2022-09-20 08:17:58
8621,car,,,2022-09-20 08:17:59
8622,car,,,2022-09-20 08:18:01
8624,person,,,2022-09-20 08:18:04
8626,person,,,2022-09-20 08:18:04
8628,person,,,2022-09-20 08:18:05
8631,person,,,2022-09-20 08:18:06
8632,person,,,2022-09-20 08:18:06
8633,person,,,2022-09-20 08:18:06
8635,person,,,2022-09-20 08:18:07
8636,person,,,2022-09-20 08:18:07
8638,person,,,2022-09-20 08:18:07
8645,person,,,2022-09-20 08:18:08
8647,person,,,2022-09-20 08:18:08
8648,bus,,,2022-09-20 08:18:08
8650,bus,,,2022-09-20 08:18:08
8651,car,,,2022-09-20 08:18:09
8652,unclear,,,2022-09-20 08:18:10
8657,unclear,,,2022-09-20 08:18:12
8660,car,,,2022-09-20 08:18:27
8661,bicycle,['Sued'],,2022-09-20 08:18:29
8662,person,,,2022-09-20 08:18:29
8663,person,['Nord'],,2022-09-20 08:18:29
8664,person,,,2022-09-20 08:18:30
8665,unclear,,,2022-09-20 08:18:37
8668,bicycle,['Sued'],,2022-09-20 08:18:39
8670,person,"['Nord', 'Sued']",,2022-09-20 08:18:39
8676,unclear,,,2022-09-20 08:18:40
8678,unclear,,,2022-09-20 08:18:40
8679,bicycle,['Nord'],,2022-09-20 08:18:40
8680,unclear,,,2022-09-20 08:18:40
8682,unclear,,,2022-09-20 08:18:42
8683,bicycle,"['Nord', 'Sued']",,2022-09-20 08:18:42
8684,person,"['Nord', 'Sued']",,2022-09-20 08:18:42
8686,bicycle,['Nord'],,2022-09-20 08:18:42
8691,car,,,2022-09-20 08:18:46
8692,person,,,2022-09-20 08:18:46
8693,person,,,2022-09-20 08:18:47
8695,bicycle,,,2022-09-20 08:18:49
8696,person,,,2022-09-20 08:18:49
8697,bicycle,,,2022-09-20 08:18:50
8698,bicycle,,,2022-09-20 08:18:50
8699,person,,,2022-09-20 08:18:51
8700,bicycle,,,2022-09-20 08:18:52
8701,person,,,2022-09-20 08:18:52
8703,unclear,,,2022-09-20 08:19:00
8704,car,,,2022-09-20 08:19:00
8705,person,"['Nord', 'Sued']",,2022-09-20 08:19:03
8706,bicycle,['Nord'],,2022-09-20 08:19:04
8707,person,"['Nord', 'Sued']",,2022-09-20 08:19:05
8708,motorcycle,,,2022-09-20 08:19:05
8712,person,,,2022-09-20 08:19:05
8713,bicycle,,,2022-09-20 08:19:06
8714,unclear,,,2022-09-20 08:19:07
8716,bicycle,,,2022-09-20 08:19:08
8718,bicycle,,,2022-09-20 08:19:09
8719,unclear,,,2022-09-20 08:19:09
8722,person,,,2022-09-20 08:19:10
8724,bicycle,,,2022-09-20 08:19:10
8725,bicycle,,,2022-09-20 08:19:11
8726,bicycle,['Sued'],,2022-09-20 08:19:13
8727,bicycle,,,2022-09-20 08:19:13
8728,unclear,,,2022-09-20 08:19:14
8729,bicycle,"['Nord', 'Sued']",,2022-09-20 08:19:14
8731,person,"['Nord', 'Sued']",,2022-09-20 08:19:15
8732,person,,,2022-09-20 08:19:15
8735,person,,,2022-09-20 08:19:16
8737,bicycle,"['Nord', 'Sued']",,2022-09-20 08:19:17
8738,person,,,2022-09-20 08:19:17
8739,person,['Nord'],,2022-09-20 08:19:17
8740,bicycle,,,2022-09-20 08:19:17
8741,unclear,,,2022-09-20 08:19:18
8742,person,,,2022-09-20 08:19:18
8743,bicycle,,,2022-09-20 08:19:19
8744,person,,,2022-09-20 08:19:20
8745,person,,,2022-09-20 08:19:22
8746,person,,,2022-09-20 08:19:22
8748,person,"['Nord', 'Sued']",,2022-09-20 08:19:24
8749,bicycle,['Nord'],,2022-09-20 08:19:25
8751,person,,,2022-09-20 08:19:26
8752,bicycle,,,2022-09-20 08:19:27
8754,car,,,2022-09-20 08:19:38
8755,unclear,,,2022-09-20 08:19:40
8756,car,,,2022-09-20 08:19:41
8757,person,"['Nord', 'Sued']",,2022-09-20 08:19:41
8758,bicycle,['Nord'],,2022-09-20 08:19:42
8759,bicycle,,,2022-09-20 08:19:42
8760,person,,,2022-09-20 08:19:42
8761,bicycle,,,2022-09-20 08:19:42
8762,unclear,,,2022-09-20 08:19:42
8763,unclear,,,2022-09-20 08:19:42
8765,person,,,2022-09-20 08:19:42
8767,person,"['Nord', 'Sued']",,2022-09-20 08:19:42
8768,unclear,,,2022-09-20 08:19:42
8769,person,,,2022-09-20 08:19:42
8770,person,,,2022-09-20 08:19:43
8771,unclear,,,2022-09-20 08:19:43
8772,unclear,,,2022-09-20 08:19:43
8773,bicycle,,,2022-09-20 08:19:44
8774,person,['Nord'],,2022-09-20 08:19:44
8775,unclear,,,2022-09-20 08:19:44
8777,bicycle,,,2022-09-20 08:19:45
8778,bicycle,,,2022-09-20 08:19:45
8780,person,,,2022-09-20 08:19:46
8781,bicycle,['Nord'],,2022-09-20 08:19:47
8782,person,,,2022-09-20 08:19:48
8783,bicycle,,,2022-09-20 08:19:48
8785,unclear,,,2022-09-20 08:19:49
8786,person,,,2022-09-20 08:19:49
8788,unclear,,,2022-09-20 08:19:49
8789,unclear,,,2022-09-20 08:19:49
8790,unclear,,,2022-09-20 08:19:50
8791,person,"['Nord', 'Sued']",,2022-09-20 08:19:50
8793,unclear,,,2022-09-20 08:19:50
8794,unclear,,,2022-09-20 08:19:50
8796,bicycle,['Nord'],,2022-09-20 08:19:51
8798,bicycle,,,2022-09-20 08:19:52
8801,car,,,2022-09-20 08:19:53
8802,person,,,2022-09-20 08:19:53
8803,bicycle,['Sued'],,2022-09-20 08:19:54
8804,person,,,2022-09-20 08:19:55
8806,bicycle,,,2022-09-20 08:19:55
8807,person,,,2022-09-20 08:19:57
8808,person,,,2022-09-20 08:19:57
8809,bicycle,,,2022-09-20 08:19:58
8810,person,"['Nord', 'Sued']",,2022-09-20 08:19:59
8811,unclear,,,2022-09-20 08:20:03
8812,car,,,2022-09-20 08:20:03
8814,person,,,2022-09-20 08:20:03
8815,car,,,2022-09-20 08:20:04
8816,unclear,,,2022-09-20 08:20:04
8819,person,,,2022-09-20 08:20:06
8821,unclear,,,2022-09-20 08:20:07
8822,bus,,,2022-09-20 08:20:08
8823,person,,,2022-09-20 08:20:11
8825,car,,,2022-09-20 08:20:18
8826,unclear,,,2022-09-20 08:20:19
8828,person,"['Nord', 'Sued']",,2022-09-20 08:20:23
8829,bicycle,"['Nord', 'Sued']",,2022-09-20 08:20:23
8834,bicycle,,,2022-09-20 08:20:24
8835,bicycle,['Nord'],,2022-09-20 08:20:24
8837,car,,,2022-09-20 08:20:25
8838,bicycle,,,2022-09-20 08:20:26
8839,bicycle,,,2022-09-20 08:20:26
8840,person,"['Nord', 'Sued']",,2022-09-20 08:20:26
8841,person,['Nord'],,2022-09-20 08:20:26
8844,unclear,,,2022-09-20 08:20:26
8847,person,,,2022-09-20 08:20:27
8848,bicycle,['Nord'],,2022-09-20 08:20:27
8849,person,"['Nord', 'Sued']",,2022-09-20 08:20:27
8850,bicycle,,,2022-09-20 08:20:27
8852,person,,,2022-09-20 08:20:28
8855,person,,,2022-09-20 08:20:31
8856,person,,,2022-09-20 08:20:32
8857,person,,,2022-09-20 08:20:32
8858,bicycle,['Nord'],,2022-09-20 08:20:32
8859,person,"['Nord', 'Sued']",,2022-09-20 08:20:32
8860,person,,,2022-09-20 08:20:32
8861,unclear,,,2022-09-20 08:20:32
8863,unclear,,,2022-09-20 08:20:33
8866,unclear,,,2022-09-20 08:20:33
8870,bicycle,"['Nord', 'Sued']",,2022-09-20 08:20:36
8871,person,"['Nord', 'Sued']",,2022-09-20 08:20:37
8873,unclear,,,2022-09-20 08:20:37
8875,bicycle,,,2022-09-20 08:20:37
8877,bicycle,,,2022-09-20 08:20:37
8880,unclear,,,2022-09-20 08:20:37
8881,bicycle,,,2022-09-20 08:20:37
8884,bicycle,,,2022-09-20 08:20:37
8885,bicycle,,,2022-09-20 08:20:37
8887,bicycle,"['Nord', 'Sued']",,2022-09-20 08:20:40
8888,person,['Nord'],,2022-09-20 08:20:40
8889,motorcycle,,,2022-09-20 08:20:40
8892,unclear,,,2022-09-20 08:20:40
8893,unclear,,,2022-09-20 08:20:40
8894,unclear,,,2022-09-20 08:20:40
8897,unclear,,,2022-09-20 08:20:41
8900,unclear,,,2022-09-20 08:20:42
8904,bicycle,,,2022-09-20 08:20:43
8906,person,,,2022-09-20 08:20:45
8907,bicycle,"['Nord', 'Sued']",,2022-09-20 08:20:47
8908,person,,,2022-09-20 08:20:47
8909,person,['Nord'],,2022-09-20 08:20:47
8910,person,,,2022-09-20 08:20:47
8911,bicycle,,,2022-09-20 08:20:47
8912,bicycle,,,2022-09-20 08:20:47
8913,person,,,2022-09-20 08:20:47
8915,unclear,,,2022-09-20 08:20:47
8916,person,,,2022-09-20 08:20:47
8920,person,,,2022-09-20 08:20:49
8923,person,,,2022-09-20 08:20:50
8925,person,,,2022-09-20 08:20:50
8927,person,,,2022-09-20 08:20:51
8929,person,,,2022-09-20 08:20:51
8930,person,,,2022-09-20 08:20:51
8931,person,,,2022-09-20 08:20:52
8935,person,,,2022-09-20 08:20:54
8936,bicycle,,,2022-09-20 08:20:54
8937,person,,,2022-09-20 08:20:55
8938,bicycle,,,2022-09-20 08:20:56
8939,person,,,2022-09-20 08:20:56
8940,person,,,2022-09-20 08:20:57
8941,person,,,2022-09-20 08:20:57
8942,person,,,2022-09-20 08:20:57
8943,person,,,2022-09-20 08:20:58
8944,person,,,2022-09-20 08:21:00
8945,person,,,2022-09-20 08:21:00
8946,person,,,2022-09-20 08:21:00
8947,person,"['Nord', 'Sued']",,2022-09-20 08:21:00
8948,person,,,2022-09-20 08:21:01
8949,person,,,2022-09-20 08:21:01
8950,person,,,2022-09-20 08:21:01
8951,bicycle,,,2022-09-20 08:21:01
8952,bicycle,"['Nord', 'Sued']",,2022-09-20 08:21:01
8953,bicycle,,,2022-09-20 08:21:02
8954,person,"['Nord', 'Sued']",,2022-09-20 08:21:02
8955,bicycle,,,2022-09-20 08:21:02
8957,person,,,2022-09-20 08:21:02
8958,car,,,2022-09-20 08:21:02
8959,bicycle,['Nord'],,2022-09-20 08:21:03
8961,unclear,,,2022-09-20 08:21:03
8962,person,,,2022-09-20 08:21:03
8964,bicycle,['Nord'],,2022-09-20 08:21:03
8965,bicycle,,,2022-09-20 08:21:03
8968,person,,,2022-09-20 08:21:04
8969,bicycle,,,2022-09-20 08:21:04
8970,car,,,2022-09-20 08:21:04
8971,person,,,2022-09-20 08:21:05
8973,person,,,2022-09-20 08:21:05
8974,bicycle,,,2022-09-20 08:21:05
8975,person,,,2022-09-20 08:21:05
8976,bicycle,,,2022-09-20 08:21:05
8977,person,['Nord'],,2022-09-20 08:21:05
8978,bicycle,,,2022-09-20 08:21:05
8979,bicycle,,,2022-09-20 08:21:06
8981,person,,,2022-09-20 08:21:06
8982,person,,,2022-09-20 08:21:06
8986,bicycle,,,2022-09-20 08:21:07
8987,person,,,2022-09-20 08:21:08
8988,person,,,2022-09-20 08:21:08
8989,bicycle,,,2022-09-20 08:21:10
8991,motorcycle,['Nord'],,2022-09-20 08:21:11
8992,bicycle,['Sued'],,2022-09-20 08:21:12
8994,person,['Sued'],,2022-09-20 08:21:12
8995,motorcycle,['Nord'],,2022-09-20 08:21:12
8997,bus,,,2022-09-20 08:21:13
8998,person,,,2022-09-20 08:21:13
8999,person,,,2022-09-20 08:21:15
9003,person,,,2022-09-20 08:21:16
9004,person,,,2022-09-20 08:21:17
9007,person,,,2022-09-20 08:21:28
9009,bicycle,"['Nord', 'Sued']",,2022-09-20 08:21:29
9010,person,['Nord'],,2022-09-20 08:21:29
9011,bicycle,,,2022-09-20 08:21:30
9012,person,,,2022-09-20 08:21:30
9013,person,,,2022-09-20 08:21:30
9014,car,,,2022-09-20 08:21:31
9015,motorcycle,,,2022-09-20 08:21:31
9016,unclear,,,2022-09-20 08:21:31
9017,car,,,2022-09-20 08:21:32
9018,truck,,,2022-09-20 08:21:32
9021,person,,,2022-09-20 08:21:32
9022,person,['Sued'],,2022-09-20 08:21:32
9023,bus,,,2022-09-20 08:21:33
9025,bicycle,,,2022-09-20 08:21:33
9027,person,,,2022-09-20 08:21:37
9028,person,,,2022-09-20 08:21:38
9029,bicycle,['Nord'],,2022-09-20 08:21:38
9030,person,"['Nord', 'Sued']",,2022-09-20 08:21:38
9031,motorcycle,,,2022-09-20 08:21:38
9032,motorcycle,,,2022-09-20 08:21:38
9035,motorcycle,['Nord'],,2022-09-20 08:21:40
9036,bicycle,,,2022-09-20 08:21:40
9037,person,,,2022-09-20 08:21:40
9038,person,,,2022-09-20 08:21:41
9039,person,,,2022-09-20 08:21:42
9040,person,,,2022-09-20 08:21:42
9041,person,,,2022-09-20 08:21:43
9042,person,,,2022-09-20 08:21:47
9043,car,,,2022-09-20 08:21:54
9044,unclear,,,2022-09-20 08:21:56
9046,bicycle,"['Nord', 'Sued']",,2022-09-20 08:22:00
9047,person,['Nord'],,2022-09-20 08:22:00
9050,car,,,2022-09-20 08:22:02
9052,person,,,2022-09-20 08:22:03
9053,bicycle,"['Nord', 'Sued']",,2022-09-20 08:22:03
9054,person,"['Nord', 'Sued']",,2022-09-20 08:22:03
9055,bicycle,,,2022-09-20 08:22:03
9056,bicycle,"['Nord', 'Sued']",,2022-09-20 08:22:03
9057,bicycle,,,2022-09-20 08:22:04
9058,bicycle,,,2022-09-20 08:22:04
9060,bicycle,,,2022-09-20 08:22:05
9061,bicycle,,,2022-09-20 08:22:05
9062,person,"['Nord', 'Sued']",,2022-09-20 08:22:05
9063,car,,,2022-09-20 08:22:06
9064,unclear,,,2022-09-20 08:22:06
9066,motorcycle,,,2022-09-20 08:22:07
9067,person,,,2022-09-20 08:22:07
9068,person,,,2022-09-20 08:22:08
9069,person,,,2022-09-20 08:22:08
9070,person,"['Nord', 'Sued']",,2022-09-20 08:22:08
9071,bicycle,,,2022-09-20 08:22:08
9073,bicycle,['Nord'],,2022-09-20 08:22:09
9074,person,"['Nord', 'Sued']",,2022-09-20 08:22:09
9075,bicycle,,,2022-09-20 08:22:09
9077,person,['Nord'],,2022-09-20 08:22:09
9078,bicycle,,,2022-09-20 08:22:09
9080,bicycle,['Nord'],,2022-09-20 08:22:09
9083,person,,,2022-09-20 08:22:10
9086,bicycle,,,2022-09-20 08:22:11
9087,person,,,2022-09-20 08:22:11
9088,car,,,2022-09-20 08:22:12
9089,person,,,2022-09-20 08:22:12
9090,bicycle,,,2022-09-20 08:22:12
9094,bicycle,,,2022-09-20 08:22:13
9095,person,,,2022-09-20 08:22:13
9096,bicycle,,,2022-09-20 08:22:13
9097,person,,,2022-09-20 08:22:13
9098,motorcycle,,,2022-09-20 08:22:14
9099,person,,,2022-09-20 08:22:14
9100,person,,,2022-09-20 08:22:14
9101,unclear,,,2022-09-20 08:22:14
9104,unclear,,,2022-09-20 08:22:14
9105,person,,,2022-09-20 08:22:14
9108,bicycle,,,2022-09-20 08:22:14
9109,unclear,['Nord'],,2022-09-20 08:22:14
9110,bicycle,,,2022-09-20 08:22:14
9112,unclear,,,2022-09-20 08:22:14
9113,person,,,2022-09-20 08:22:15
9114,person,,,2022-09-20 08:22:15
9117,bicycle,,,2022-09-20 08:22:15
9118,person,"['Nord', 'Sued']",,2022-09-20 08:22:15
9119,bicycle,['Sued'],,2022-09-20 08:22:15
9121,bicycle,,,2022-09-20 08:22:16
9122,person,,,2022-09-20 08:22:16
9123,bicycle,,,2022-09-20 08:22:16
9125,person,,,2022-09-20 08:22:16
9126,person,,,2022-09-20 08:22:16
9127,bicycle,"['Nord', 'Sued']",,2022-09-20 08:22:16
9128,bicycle,,,2022-09-20 08:22:17
9129,bicycle,,,2022-09-20 08:22:17
9130,person,,,2022-09-20 08:22:17
9131,person,,,2022-09-20 08:22:18
9132,person,,,2022-09-20 08:22:18
9133,person,,,2022-09-20 08:22:18
9135,bicycle,"['Nord', 'Sued']",,2022-09-20 08:22:18
9137,person,['Nord'],,2022-09-20 08:22:18
9146,bicycle,,,2022-09-20 08:22:19
9147,bicycle,,,2022-09-20 08:22:19
9149,bicycle,,,2022-09-20 08:22:20
9150,person,['Sued'],,2022-09-20 08:22:21
9151,person,,,2022-09-20 08:22:21
9152,bicycle,,,2022-09-20 08:22:21
9153,person,,,2022-09-20 08:22:22
9155,person,,,2022-09-20 08:22:23
9157,person,,,2022-09-20 08:22:25
9158,bicycle,['Nord'],,2022-09-20 08:22:25
9159,person,"['Nord', 'Sued']",,2022-09-20 08:22:25
9162,person,,,2022-09-20 08:22:26
9163,unclear,,,2022-09-20 08:22:26
9164,person,,,2022-09-20 08:22:27
9165,car,,,2022-09-20 08:22:27
9166,person,,,2022-09-20 08:22:27
9167,person,,,2022-09-20 08:22:28
9169,bicycle,['Sued'],,2022-09-20 08:22:30
9170,unclear,,,2022-09-20 08:22:31
9171,bicycle,,,2022-09-20 08:22:31
9173,person,['Nord'],,2022-09-20 08:22:32
9174,person,,,2022-09-20 08:22:32
9175,bicycle,,,2022-09-20 08:22:33
9176,bicycle,['Nord'],,2022-09-20 08:22:34
9177,bicycle,,,2022-09-20 08:22:35
9178,bicycle,,,2022-09-20 08:22:36
9180,bicycle,,,2022-09-20 08:22:38
9181,bicycle,,,2022-09-20 08:22:38
9183,bicycle,,,2022-09-20 08:22:39
9185,unclear,,,2022-09-20 08:22:39
9187,unclear,,,2022-09-20 08:22:39
9188,bicycle,,,2022-09-20 08:22:40
9191,person,,,2022-09-20 08:22:41
9192,unclear,,,2022-09-20 08:22:42
9193,motorcycle,,,2022-09-20 08:22:43
9194,person,,,2022-09-20 08:22:43
9196,bicycle,,,2022-09-20 08:22:44
9197,person,['Sued'],,2022-09-20 08:22:44
9198,unclear,,,2022-09-20 08:22:45
9199,bicycle,,,2022-09-20 08:22:45
