;Class;gt;eval;rp;fp;fn;t_start;t_end
0;person;6;3,0;3,0;0,0;3,0;13:15:00;13:15:10
0;person;3;1,0;1,0;0,0;2,0;13:15:10;13:15:20
1;car;1;1,0;1,0;0,0;0,0;13:15:10;13:15:20
0;person;2;0,0;0,0;0,0;2,0;13:15:20;13:15:30
1;car;1;1,0;1,0;0,0;0,0;13:15:20;13:15:30
0;car;3;2,0;2,0;0,0;1,0;13:15:50;13:16:00
1;bicycle;1;2,0;1,0;1,0;0,0;13:15:50;13:16:00
2;motorcycle;1;1,0;1,0;0,0;0,0;13:15:50;13:16:00
0;car;6;8,0;6,0;2,0;0,0;13:16:00;13:16:10
1;motorcycle;1;1,0;1,0;0,0;0,0;13:16:00;13:16:10
0;car;2;2,0;2,0;0,0;0,0;13:16:10;13:16:20
1;truck;1;2,0;1,0;1,0;0,0;13:16:10;13:16:20
0;person;2;2,0;2,0;0,0;0,0;13:16:30;13:16:40
0;car;3;2,0;2,0;0,0;1,0;13:16:40;13:16:50
1;person;2;2,0;2,0;0,0;0,0;13:16:40;13:16:50
0;person;2;3,0;2,0;1,0;0,0;13:16:50;13:17:00
1;bus;1;1,0;1,0;0,0;0,0;13:16:50;13:17:00
2;car;1;1,0;1,0;0,0;0,0;13:16:50;13:17:00
3;motorcycle;1;0,0;0,0;0,0;1,0;13:16:50;13:17:00
0;car;1;1,0;1,0;0,0;0,0;13:17:00;13:17:10
0;bicycle;1;1,0;1,0;0,0;0,0;13:17:10;13:17:20
0;person;2;2,0;2,0;0,0;0,0;13:17:20;13:17:30
0;car;3;1,0;1,0;0,0;2,0;13:17:30;13:17:40
0;car;7;8,0;7,0;1,0;0,0;13:17:40;13:17:50
0;person;4;1,0;1,0;0,0;3,0;13:17:50;13:18:00
1;car;1;0,0;0,0;0,0;1,0;13:17:50;13:18:00
0;person;1;0,0;0,0;0,0;1,0;13:18:00;13:18:10
0;person;2;0,0;0,0;0,0;2,0;13:18:10;13:18:20
1;car;1;2,0;1,0;1,0;0,0;13:18:10;13:18:20
0;car;7;7,0;7,0;0,0;0,0;13:18:20;13:18:30
0;car;1;1,0;1,0;0,0;0,0;13:18:30;13:18:40
0;person;1;1,0;1,0;0,0;0,0;13:18:40;13:18:50
0;car;3;3,0;3,0;0,0;0,0;13:18:50;13:19:00
0;car;7;8,0;7,0;1,0;0,0;13:19:00;13:19:10
0;car;7;7,0;7,0;0,0;0,0;13:19:10;13:19:20
0;car;3;3,0;3,0;0,0;0,0;13:19:20;13:19:30
0;person;2;2,0;2,0;0,0;0,0;13:19:30;13:19:40
0;person;1;0,0;0,0;0,0;1,0;13:19:40;13:19:50
0;car;4;4,0;4,0;0,0;0,0;13:19:50;13:20:00
0;car;7;7,0;7,0;0,0;0,0;13:20:00;13:20:10
0;car;3;3,0;3,0;0,0;0,0;13:20:10;13:20:20
1;bus;1;1,0;1,0;0,0;0,0;13:20:10;13:20:20
0;car;5;5,0;5,0;0,0;0,0;13:20:20;13:20:30
0;car;1;4,0;1,0;3,0;0,0;13:21:20;13:21:30
1;person;1;0,0;0,0;0,0;1,0;13:21:20;13:21:30
0;person;3;1,0;1,0;0,0;2,0;13:21:50;13:22:00
1;car;2;2,0;2,0;0,0;0,0;13:21:50;13:22:00
0;person;1;1,0;1,0;0,0;0,0;13:22:00;13:22:10
0;bicycle;1;1,0;1,0;0,0;0,0;13:22:10;13:22:20
0;person;4;3,0;3,0;0,0;1,0;13:22:20;13:22:30
0;car;5;5,0;5,0;0,0;0,0;13:22:50;13:23:00
1;person;1;0,0;0,0;0,0;1,0;13:22:50;13:23:00
2;truck;1;0,0;0,0;0,0;1,0;13:22:50;13:23:00
0;car;2;2,0;2,0;0,0;0,0;13:23:00;13:23:10
0;bicycle;1;2,0;1,0;1,0;0,0;13:23:20;13:23:30
1;car;1;1,0;1,0;0,0;0,0;13:23:20;13:23:30
2;person;1;1,0;1,0;0,0;0,0;13:23:20;13:23:30
0;car;7;8,0;7,0;1,0;0,0;13:23:30;13:23:40
0;car;8;8,0;8,0;0,0;0,0;13:23:40;13:23:50
0;car;4;3,0;3,0;0,0;1,0;13:23:50;13:24:00
0;car;6;6,0;6,0;0,0;0,0;13:24:20;13:24:30
1;motorcycle;1;1,0;1,0;0,0;0,0;13:24:20;13:24:30
2;person;1;0,0;0,0;0,0;1,0;13:24:20;13:24:30
0;bus;1;1,0;1,0;0,0;0,0;13:24:30;13:24:40
1;car;1;1,0;1,0;0,0;0,0;13:24:30;13:24:40
0;bicycle;1;0,0;0,0;0,0;1,0;13:24:40;13:24:50
0;car;2;2,0;2,0;0,0;0,0;13:24:50;13:25:00
0;car;8;8,0;8,0;0,0;0,0;13:25:00;13:25:10
0;car;6;6,0;6,0;0,0;0,0;13:25:10;13:25:20
0;person;2;0,0;0,0;0,0;2,0;13:25:20;13:25:30
1;bus;1;1,0;1,0;0,0;0,0;13:25:20;13:25:30
0;car;1;1,0;1,0;0,0;0,0;13:25:30;13:25:40
0;car;1;1,0;1,0;0,0;0,0;13:25:40;13:25:50
0;person;3;2,0;2,0;0,0;1,0;13:26:00;13:26:10
0;person;1;0,0;0,0;0,0;1,0;13:26:10;13:26:20
0;car;3;2,0;2,0;0,0;1,0;13:26:20;13:26:30
1;bicycle;1;1,0;1,0;0,0;0,0;13:26:20;13:26:30
0;car;6;5,0;5,0;0,0;1,0;13:26:30;13:26:40
1;motorcycle;1;1,0;1,0;0,0;0,0;13:26:30;13:26:40
2;truck;1;1,0;1,0;0,0;0,0;13:26:30;13:26:40
0;car;6;6,0;6,0;0,0;0,0;13:26:40;13:26:50
0;bus;1;1,0;1,0;0,0;0,0;13:26:50;13:27:00
0;person;1;1,0;1,0;0,0;0,0;13:27:00;13:27:10
0;car;2;0,0;0,0;0,0;2,0;13:27:20;13:27:30
1;person;1;0,0;0,0;0,0;1,0;13:27:20;13:27:30
0;car;2;3,0;2,0;1,0;0,0;13:27:30;13:27:40
1;bus;1;1,0;1,0;0,0;0,0;13:27:30;13:27:40
0;car;6;6,0;6,0;0,0;0,0;13:27:40;13:27:50
1;bus;1;0,0;0,0;0,0;1,0;13:27:40;13:27:50
0;car;3;3,0;3,0;0,0;0,0;13:27:50;13:28:00
1;bus;1;2,0;1,0;1,0;0,0;13:27:50;13:28:00
0;bus;1;1,0;1,0;0,0;0,0;13:28:00;13:28:10
1;car;1;1,0;1,0;0,0;0,0;13:28:00;13:28:10
0;person;1;0,0;0,0;0,0;1,0;13:28:10;13:28:20
0;person;1;1,0;1,0;0,0;0,0;13:28:20;13:28:30
0;car;4;4,0;4,0;0,0;0,0;13:28:30;13:28:40
1;bicycle;1;0,0;0,0;0,0;1,0;13:28:30;13:28:40
2;person;1;1,0;1,0;0,0;0,0;13:28:30;13:28:40
0;car;2;2,0;2,0;0,0;0,0;13:28:40;13:28:50
0;car;1;1,0;1,0;0,0;0,0;13:28:50;13:29:00
1;person;1;0,0;0,0;0,0;1,0;13:28:50;13:29:00
0;person;1;0,0;0,0;0,0;1,0;13:29:00;13:29:10
0;car;3;3,0;3,0;0,0;0,0;13:29:20;13:29:30
1;bicycle;1;0,0;0,0;0,0;1,0;13:29:20;13:29:30
2;person;1;2,0;1,0;1,0;0,0;13:29:20;13:29:30
0;car;8;7,0;7,0;0,0;1,0;13:29:30;13:29:40
1;person;2;2,0;2,0;0,0;0,0;13:29:30;13:29:40
2;truck;1;1,0;1,0;0,0;0,0;13:29:30;13:29:40
0;car;6;4,0;4,0;0,0;2,0;13:29:40;13:29:50
1;truck;1;1,0;1,0;0,0;0,0;13:29:40;13:29:50
0;car;3;3,0;3,0;0,0;0,0;13:29:50;13:30:00
1;bicycle;1;0,0;0,0;0,0;1,0;13:29:50;13:30:00
